city,country,latitude,longitude,temp,humid,cloud,wind
Arraial do Cabo,BR,-22.97,-42.03,69.24,87,97,9.8
Mbanza-Ngungu,CD,-5.25,14.87,72.82,61,93,6.49
Acarí,PE,-15.43,-74.62,59.31,59,56,2.17
Talnakh,RU,69.49,88.4,69.8,49,100,8.95
Caiapônia,BR,-16.96,-51.81,70.7,48,93,4.79
Jiaocheng,CN,24.68,116.14,91.56,54,100,0.85
Iracoubo,GF,5.48,-53.2,76.15,86,50,5.57
Mataura,NZ,-46.19,168.86,49.75,83,100,2.42
Westlake Village,US,34.15,-118.81,66.0,90,0,2.62
Zhangye,CN,38.93,100.45,93.15,12,1,8.93
Itaituba,BR,-4.28,-55.98,68.4,60,36,1.59
Bethel,US,41.37,-73.41,72.0,88,75,5.82
Nemuro,JP,43.32,145.57,71.6,73,20,14.99
Hermanus,ZA,-34.42,19.23,61.0,81,52,5.79
Kyshtovka,RU,56.55,76.63,67.05,54,14,7.85
Erbil,IQ,36.19,44.01,107.6,10,0,8.05
Ust-Nera,RU,64.57,143.2,61.14,32,81,9.13
Fethiye,TR,36.62,29.12,86.0,74,20,12.75
Tunceli,TR,39.11,39.55,87.8,20,0,5.82
Puerto Ayora,EC,-0.74,-90.35,66.0,95,36,7.02
Rikitea,PF,-23.12,-134.97,72.73,87,100,15.55
Airai,TL,-8.93,125.41,65.61,66,0,4.21
Mogadishu,SO,2.04,45.34,80.49,74,15,15.35
Castro,BR,-24.79,-50.01,47.21,96,100,8.93
Vezirköprü,TR,41.14,35.45,80.6,44,75,10.29
Qaryat Sulūq,LY,31.67,20.25,91.76,26,0,13.96
Haines Junction,CA,60.75,-137.51,54.9,76,0,2.17
Acaraú,BR,-2.89,-40.12,75.11,84,26,13.35
Qaqortoq,GL,60.72,-46.03,46.4,93,100,4.7
Ambon City,ID,-3.7,128.18,81.0,83,75,5.82
Khandyga,RU,62.67,135.6,73.92,27,0,10.29
Mahajanga,MG,-15.72,46.32,84.2,45,20,8.05
Dongsheng,CN,39.82,109.98,85.3,28,100,13.02
Vila Velha,BR,-20.33,-40.29,64.4,93,20,2.24
Bluff,NZ,-46.6,168.33,51.91,79,100,9.26
Chokurdakh,RU,70.63,147.92,53.94,56,99,10.89
Carnarvon,AU,-24.87,113.63,71.6,64,0,12.75
Shimoda,JP,34.67,138.95,73.4,88,75,9.17
Butaritari,KI,3.07,172.79,82.54,76,42,12.3
Corvallis,US,44.56,-123.26,66.2,48,1,9.17
Upernavik,GL,72.79,-56.15,41.67,84,19,3.47
Waipawa,NZ,-41.41,175.52,52.0,81,100,12.75
Taft,IR,31.75,54.21,100.4,14,0,6.93
Bengkulu,ID,-3.8,102.27,83.55,75,73,9.04
Taltal,CL,-25.4,-70.48,54.79,69,100,2.64
Tiznit Province,MA,29.58,-9.5,87.57,23,50,3.33
Cidreira,BR,-30.18,-50.21,47.62,75,77,4.72
Port-Gentil,GA,-0.72,8.78,77.0,83,40,12.86
Ilulissat,GL,69.22,-51.1,39.2,93,17,1.12
Laguna,US,38.42,-121.42,68.0,63,1,5.82
Makakilo City,US,21.35,-158.09,78.8,69,20,14.29
Kidal,ML,18.44,1.41,91.13,37,0,15.79
Iqaluit,CA,63.75,-68.51,51.8,87,75,2.24
Huntly,GB,57.45,-2.79,53.6,81,75,6.93
Eureka,US,40.8,-124.16,55.0,100,0,3.67
Hobart,AU,-42.88,147.33,51.01,57,20,5.82
Geraldton,AU,-28.77,114.6,69.8,60,0,13.87
Ribeira Grande,PT,38.52,-28.7,71.6,73,40,12.75
Williams Lake,CA,52.14,-122.14,62.6,63,40,8.05
Nikolskoye,RU,59.7,30.79,64.99,67,75,11.18
Kavieng,PG,-2.57,150.8,84.22,72,72,6.8
Cockburn Town,TC,21.46,-71.14,83.19,75,29,32.48
Gamba,GA,-2.65,10.0,74.57,75,100,8.21
Norman Wells,CA,65.28,-126.83,50.0,100,40,2.24
Sheridan,US,44.83,-106.92,62.6,72,1,6.93
Severo-Kuril'sk,RU,50.68,156.12,56.01,87,48,13.2
Lagoa,PT,39.05,-27.98,72.46,83,88,22.59
Kulhudhuffushi,MV,6.62,73.07,82.83,78,100,17.18
Jalu,LY,29.03,21.55,90.39,30,0,5.53
Vestmannaeyjar,IS,63.44,-20.27,50.0,93,75,6.93
Bathsheba,BB,13.22,-59.52,82.4,83,40,17.22
Tromsø,NO,69.65,18.96,64.4,68,96,6.93
Barrow,US,71.29,-156.79,42.8,81,90,12.75
Shingū,JP,33.73,135.98,84.2,79,20,10.29
Beyneu,KZ,45.32,55.2,75.49,42,41,15.05
Vestmanna,FO,62.16,-7.17,48.2,87,68,14.99
Sikonge,TZ,-5.63,32.77,71.6,53,0,23.04
Henties Bay,NA,-22.12,14.28,65.46,53,0,7.07
Danielskuil,ZA,-28.19,23.54,60.8,30,0,6.4
Atuona,PF,-9.8,-139.03,78.82,76,53,19.8
Hambantota,LK,6.12,81.12,89.6,66,40,17.22
Isangel,VU,-19.55,169.27,74.41,82,12,14.9
Inhambane,MZ,-23.86,35.38,68.0,82,0,2.24
Bonthe,SL,7.53,-12.51,77.25,83,93,7.67
Dingle,PH,11.0,122.67,85.23,75,45,12.53
Longyearbyen,SJ,78.22,15.64,55.4,71,7,3.36
Brae,GB,60.4,-1.35,51.8,93,75,11.41
Comodoro Rivadavia,AR,-45.87,-67.5,32.0,76,100,3.36
Qaanaaq,GL,77.48,-69.36,38.88,70,0,6.15
Katsuura,JP,35.13,140.3,77.0,80,30,3.0
Korla,CN,41.76,86.15,88.88,15,2,4.92
Palmas Bellas,PA,9.23,-80.09,78.8,94,98,1.12
Torbay,CA,47.67,-52.73,55.0,100,90,9.17
Kharan,PK,28.58,65.42,106.72,17,93,7.07
Labuhan,ID,-6.88,112.21,84.6,48,99,8.03
Clyde River,CA,70.47,-68.59,37.4,100,90,13.87
Nome,US,64.5,-165.41,51.8,87,90,8.05
Ambovombe,MG,-25.17,46.08,75.83,49,0,9.89
Pisco,PE,-13.7,-76.22,59.0,82,90,4.7
Idlib,SY,35.93,36.63,91.4,55,0,17.22
Cascais,PT,38.7,-9.42,66.99,100,20,6.93
Jacareacanga,BR,-6.22,-57.75,67.69,60,0,1.39
Tura,IN,25.52,90.22,81.18,89,100,5.35
Itarema,BR,-2.92,-39.92,75.13,84,27,13.47
Sitka,US,57.05,-135.33,60.8,82,1,2.8
Sola,VU,-13.88,167.55,80.83,83,100,17.02
Puerto Maldonado,PE,-12.6,-69.18,61.41,63,1,2.95
Cabo San Lucas,MX,22.89,-109.91,79.0,74,1,8.75
Cochrane,CA,51.18,-114.47,64.99,93,1,5.82
Kieta,PG,-6.22,155.63,81.64,80,77,4.54
Loa Janan,ID,-0.58,117.09,82.09,85,98,5.06
Bariloche,AR,-41.15,-71.31,28.4,79,100,6.93
Caravelas,BR,-17.71,-39.25,65.17,80,0,1.28
Noyabrsk,RU,63.2,75.45,64.67,50,46,6.8
Antofagasta,CL,-23.65,-70.4,51.8,81,20,3.36
Tuktoyaktuk,CA,69.45,-133.04,50.88,85,74,15.99
Kodino,RU,63.72,39.64,60.15,94,100,8.19
Newcastle,AU,-32.93,151.78,60.01,72,75,10.29
Talaya,RU,61.38,152.75,46.44,73,97,14.16
Faanui,PF,-16.48,-151.75,79.5,82,98,15.52
Dongying,CN,37.46,118.49,95.09,35,0,10.13
Lompoc,US,34.64,-120.46,57.2,93,90,4.7
Zhangaözen,KZ,43.3,52.8,79.36,38,12,18.32
Keti Bandar,PK,24.14,67.45,90.68,63,30,14.76
Saint-Philippe,RE,-21.36,55.77,77.0,69,20,4.7
Kėdainiai,LT,55.29,23.97,64.4,63,75,13.87
Troitsko-Pechorsk,RU,62.71,56.2,74.05,35,0,2.75
San Patricio,MX,19.22,-104.7,78.46,79,100,5.3
Honiara,SB,-9.43,159.95,86.0,70,75,3.36
Vaini,TO,-21.2,-175.2,71.22,76,97,25.26
Zyryanka,RU,65.75,150.85,54.37,48,100,13.78
Nouadhibou,MR,20.93,-17.03,69.8,88,23,4.7
Santa Margherita Ligure,IT,44.33,9.21,82.0,56,0,1.99
Lima,PE,-12.04,-77.03,59.0,82,90,5.82
Tevaitoa,PF,-16.78,-151.5,80.19,80,96,17.0
Fare,PF,-16.7,-151.02,80.06,80,98,16.67
Amilly,FR,47.97,2.77,79.0,73,0,8.19
Lewiston,US,44.1,-70.21,69.8,88,90,10.29
Esperance,AU,-33.87,121.9,71.6,46,0,12.75
Cherskiy,RU,68.75,161.3,46.99,69,93,16.17
Deputatsky,RU,69.3,139.9,53.33,50,0,5.7
Xining,CN,36.62,101.77,78.01,48,27,5.14
Oruzgan,AF,32.83,66.0,94.91,9,0,11.7
Vanimo,PG,-2.67,141.3,83.12,74,27,7.23
Iiyama,JP,36.85,138.37,80.01,73,43,1.01
Tungor,RU,53.38,142.96,67.64,83,61,14.9
Copiapó,CL,-27.37,-70.33,50.0,87,83,5.82
Al Bardīyah,LY,31.76,25.09,83.75,45,0,4.16
Iranshahr,IR,27.2,60.68,109.4,10,1,6.93
Pangnirtung,CA,66.15,-65.71,49.42,82,99,2.17
Karratha,AU,-20.74,116.85,78.49,26,0,14.16
Arroyo de la Encomienda,ES,41.61,-4.8,81.0,47,0,8.05
Souillac,MU,-20.52,57.52,77.0,69,75,11.41
Jérémie,HT,18.65,-74.12,82.99,75,73,15.88
Pevek,RU,69.7,170.31,36.12,92,100,9.42
Santiago del Estero,AR,-27.8,-64.26,42.17,59,98,7.29
Mehamn,NO,71.04,27.85,60.8,81,26,17.22
Hasaki,JP,35.73,140.83,77.0,78,75,6.93
Torres,BR,-29.34,-49.73,47.05,75,99,7.78
Saint George,US,37.1,-113.58,84.2,10,1,5.82
Gizo Government Station,SB,-8.1,156.84,82.81,79,94,14.03
Orotukan,RU,62.27,151.7,47.23,68,100,15.19
Maraã,BR,-1.83,-65.37,69.57,88,23,2.06
Broome,US,42.25,-75.83,66.99,93,20,5.82
Lorengau,PG,-2.02,147.27,83.91,69,96,6.35
Hithadhoo,MV,-0.6,73.08,83.43,78,30,13.06
Omboué,GA,-1.57,9.26,75.15,74,100,6.85
Avarua,CK,-21.21,-159.78,68.0,72,100,10.29
Mount Gambier,AU,-37.83,140.77,55.4,71,4,8.05
Tadine,NC,-21.55,167.88,73.09,85,83,17.78
Pochutla,MX,15.74,-96.47,77.0,93,70,4.09
Cayenne,GF,4.93,-52.33,77.0,100,98,3.51
Jhārgrām,IN,22.45,86.98,95.81,44,100,5.99
Puerto Carreño,CO,6.19,-67.49,75.06,91,76,3.06
Puerto Escondido,MX,15.85,-97.07,79.29,79,64,5.53
Kahului,US,20.89,-156.47,75.2,73,40,10.29
Puerto Madryn,AR,-42.77,-65.04,44.85,58,100,17.96
Daru,PG,-9.08,143.21,75.9,84,89,18.9
Wagar,SD,16.15,36.2,86.27,52,89,14.43
Mangai,CD,-4.05,19.53,90.86,33,0,1.05
Mossamedes,AO,-15.2,12.15,72.99,51,0,6.29
Aksarka,RU,66.56,67.8,62.46,52,99,3.36
Constitución,CL,-35.33,-72.42,46.89,75,0,1.61
Kavaratti,IN,10.57,72.64,78.8,88,90,11.41
Myatlevo,RU,54.9,35.68,69.8,68,40,8.95
San Ignacio,BZ,17.16,-89.07,75.99,92,99,2.39
Custoias,PT,41.11,-7.32,80.53,38,0,3.51
Kuminskiy,RU,58.67,66.57,53.51,97,100,6.13
Japura,ID,-0.32,102.35,96.35,38,40,1.99
Bandarbeyla,SO,9.49,50.81,91.35,45,26,24.16
Codrington,AU,-38.27,141.97,51.96,69,79,5.73
Kedrovyy,RU,56.17,91.82,64.4,88,40,2.24
Ferme-Neuve,CA,46.7,-75.45,57.38,94,86,2.01
Puerto del Rosario,ES,28.5,-13.86,71.6,78,90,12.75
Dwārka,IN,22.24,68.97,88.05,71,100,13.42
Atasū,KZ,48.68,71.64,74.77,35,71,5.3
Calvinia,ZA,-31.47,19.78,44.6,35,0,5.82
Minggang,CN,32.46,114.05,88.39,70,97,4.83
Hue,VN,16.47,107.6,93.2,59,20,8.05
Sinnamary,GF,5.38,-52.95,77.31,82,76,5.14
Kuala Terengganu,MY,5.33,103.14,89.6,70,20,6.93
Kawalu,ID,-7.38,108.21,81.77,49,64,6.4
Paita,PE,-5.09,-81.11,60.57,85,2,9.75
São Filipe,CV,14.9,-24.5,76.77,84,100,8.55
San Cristobal,VE,7.77,-72.22,65.44,92,98,2.37
Sampit,ID,-2.53,112.95,85.93,58,100,6.17
La Constancia,MX,24.22,-107.19,80.01,85,100,1.01
Tairua,NZ,-37.02,175.85,57.99,72,100,5.01
Fort Nelson,CA,58.81,-122.7,55.99,65,1,2.91
Taoudenni,ML,22.68,-3.98,97.21,27,75,7.7
Nikki,BJ,9.94,3.21,73.8,83,19,8.79
Prince Rupert,CA,54.32,-130.32,57.2,87,1,3.36
Guanare,VE,9.04,-69.74,72.82,95,100,2.37
Coyhaique,CL,-45.58,-72.07,30.2,86,100,1.12
Yumen,CN,40.28,97.2,94.86,10,22,13.33
Bitung,ID,1.45,125.18,84.2,79,40,6.93
Avera,US,33.19,-82.53,77.0,100,90,6.93
Esil,KZ,51.96,66.4,80.29,40,23,12.73
Ulaanbaatar,MN,47.91,106.88,78.8,31,40,13.42
Port Elizabeth,ZA,-33.92,25.57,62.6,67,40,24.16
Bambous Virieux,MU,-20.34,57.76,77.0,69,75,11.41
Saskylakh,RU,71.92,114.08,66.27,45,1,6.08
Hofn,IS,64.25,-15.21,51.57,79,0,3.44
Ségou,ML,13.43,-6.22,78.96,75,1,14.07
Poum,NC,-20.23,164.02,74.19,89,42,15.26
Bikaner,IN,28.02,73.3,101.12,34,99,7.14
Chengzhong,CN,30.95,113.55,87.8,74,20,4.47
Dahra,DZ,36.25,0.85,82.4,69,0,1.3
Balsas,BR,-7.53,-46.04,72.09,59,19,5.3
San Miguel de Tucumán,AR,-26.82,-65.22,39.2,60,41,5.82
La Libertad,EC,-2.23,-80.9,67.1,85,84,5.77
Saint-Joseph,RE,-21.37,55.62,77.0,69,20,4.7
Padang,ID,-0.95,100.35,84.45,70,25,4.97
Tasiilaq,GL,65.61,-37.64,39.2,86,71,1.12
Safranbolu,TR,41.25,32.69,80.6,57,0,2.24
Baharly,TM,38.44,57.43,95.59,34,94,4.21
Kunya,NG,12.22,8.53,77.0,88,32,13.87
Homer,US,59.64,-151.55,62.6,63,1,4.7
Zhigansk,RU,66.77,123.37,62.69,48,0,16.73
Syracuse,IT,37.09,15.28,87.8,62,0,2.24
Lensk,RU,60.73,114.93,65.52,70,100,8.1
Egvekinot,RU,66.32,-179.17,44.51,83,100,6.64
Nabire,ID,-3.37,135.48,84.16,70,33,2.66
Guerrero Negro,MX,27.98,-114.06,66.94,87,1,5.66
Nara,JP,34.69,135.8,86.0,70,75,10.29
East London,ZA,-33.02,27.91,62.6,51,1,19.46
Litovko,RU,49.24,135.17,82.63,76,0,8.21
Olinda,BR,-8.01,-34.86,77.0,69,75,14.99
Kultayevo,RU,57.89,55.94,68.0,94,75,8.95
Daşoguz,TM,41.84,59.97,87.8,27,91,20.8
Gulābpura,IN,25.9,74.67,96.22,42,75,1.07
Beloha,MG,-25.17,45.05,75.2,51,0,9.73
Marabu,MY,4.41,114.01,80.6,88,40,9.17
Nísia Floresta,BR,-6.09,-35.21,69.8,94,75,6.93
Marzuq,YE,14.4,46.47,86.27,40,0,5.08
Golitsyno,RU,55.61,36.98,69.8,60,40,13.42
Mahébourg,MU,-20.41,57.7,77.0,69,75,11.41
Muramatsu,JP,37.68,139.18,78.8,83,40,5.82
Along,IN,28.17,94.77,72.91,90,100,0.47
Rawson,AR,-43.3,-65.1,41.54,62,100,11.88
Wajir,KE,1.75,40.06,84.36,50,74,16.84
Coquimbo,CL,-29.95,-71.34,50.0,100,0,2.24
Kaliua,TZ,-5.06,31.79,80.37,36,0,9.35
Cusuna,HN,15.85,-85.23,76.32,90,35,4.14
Paka,MY,4.64,103.44,89.6,70,20,5.82
Flinders,AU,-34.58,150.86,59.0,71,69,7.0
Ancud,CL,-41.87,-73.82,37.4,100,100,9.17
Tegul'det,RU,57.31,88.17,66.34,91,83,7.36
Harper,LR,4.38,-7.72,75.65,86,98,10.83
Boda,CF,4.32,17.47,70.38,96,99,5.14
Woodstock,CA,43.13,-80.75,64.4,88,40,5.23
La Rioja,ES,42.25,-2.5,78.8,50,0,12.75
Amboasary,MG,-25.03,46.38,73.4,78,20,4.7
Dorokhovo,RU,55.55,36.37,69.8,60,40,13.42
Kajaani,FI,64.23,27.73,57.2,87,90,5.82
Waitati,NZ,-45.75,170.57,48.99,88,100,4.0
Verkhnyaya Inta,RU,65.98,60.31,64.44,52,64,8.28
Esim,GH,4.87,-2.24,76.28,80,87,8.05
Verkhnevilyuysk,RU,63.45,120.32,71.15,40,6,4.23
Nobres,BR,-14.72,-56.33,62.44,73,0,4.88
Bolhrad,UA,45.68,28.61,87.8,38,0,3.36
Krasnosel'kup,RU,65.7,82.47,72.34,47,77,9.01
Aklavik,CA,68.22,-135.01,57.2,82,90,8.05
Samarai,PG,-10.62,150.67,76.03,79,59,14.88
Amos,CA,48.57,-78.12,59.0,100,40,2.24
Kamenka,RU,51.32,42.77,88.0,39,99,7.0
Kushima,JP,31.46,131.23,89.01,83,20,14.99
Safford,US,32.83,-109.71,86.0,30,1,4.7
Port Lincoln,AU,-34.73,135.87,55.8,74,33,4.23
Severnyy-Kospashskiy,RU,59.09,57.8,69.01,67,100,0.98
George Town,MY,5.41,100.34,89.6,59,40,9.17
Weihai,CN,37.5,122.11,87.01,64,0,11.52
Sepuka,TZ,-4.75,34.53,76.62,34,0,12.48
Wenatchee,US,47.42,-120.31,82.4,28,1,6.93
Bauchi,NG,10.5,10.0,78.31,77,100,2.95
Pemangkat,ID,1.17,108.97,81.0,78,95,12.55
Newport,GB,51.59,-3.0,64.99,92,34,1.01
Safi,MA,32.3,-9.24,71.73,79,33,12.77
Fuengirola,ES,36.54,-4.62,82.4,74,75,5.82
Lavrentiya,RU,65.58,-171.0,44.98,95,100,4.97
Sibu,MY,2.3,111.82,80.6,83,40,11.41
Ishigaki,JP,24.34,124.16,87.8,84,75,10.29
Aswān,EG,24.09,32.91,103.12,23,14,4.12
Beira,MZ,-19.84,34.84,71.6,73,20,8.05
Tiksi,RU,71.69,128.87,42.57,82,42,3.47
Requena,ES,39.49,-1.1,86.0,33,0,3.96
Provideniya,RU,64.38,-173.3,48.45,90,100,6.38
Kloulklubed,PW,7.04,134.26,84.2,79,75,5.82
Musoma,TZ,-1.5,33.8,75.2,57,40,9.17
Scarborough,GB,54.28,-0.4,55.99,87,100,1.01
Quatre Cocos,MU,-20.21,57.76,77.0,69,75,11.41
Kamskiye Polyany,RU,55.43,51.42,82.4,39,98,15.66
Beringovskiy,RU,63.05,179.32,53.82,83,98,6.85
Englewood,US,39.65,-104.99,64.4,63,1,4.7
Ust-Tsilma,RU,65.44,52.15,65.93,38,9,6.15
Muswellbrook,AU,-32.27,150.9,57.99,61,22,4.0
Doka,SD,13.52,35.77,82.17,59,58,11.48
Dodola,ET,6.98,39.18,61.68,74,100,4.81
Amapá,BR,1.0,-52.0,69.19,97,90,0.27
Korsakov,RU,46.63,142.78,73.4,73,75,11.18
Iquitos,PE,-3.75,-73.25,72.55,95,87,1.36
Aleksandrov Gay,RU,50.15,48.57,89.08,20,0,4.9
Marawi,PH,8.0,124.29,73.0,92,100,8.01
Itoman,JP,26.12,127.67,89.01,74,75,16.11
Petropavlovsk-Kamchatskiy,RU,53.05,158.65,69.8,52,100,8.95
Suez,EG,29.97,32.53,90.99,38,0,11.95
Buta,CD,2.79,24.73,76.78,79,72,2.89
Djambala,CG,-2.54,14.75,74.59,63,96,7.45
Kang,BW,-23.68,22.79,64.33,28,0,6.49
San Isidro,PE,-12.12,-77.05,59.0,82,90,5.82
São João da Barra,BR,-21.64,-41.05,69.51,89,39,10.33
Skibbereen,IE,51.55,-9.27,59.0,100,75,16.11
Pyapon,MM,16.28,95.68,88.38,63,74,10.58
Alpena,US,45.06,-83.43,60.8,93,1,3.36
Lüderitz,NA,-26.65,15.16,64.4,39,0,2.24
Borogontsy,RU,62.67,131.17,73.45,29,0,3.98
Uribia,CO,11.71,-72.27,78.46,86,100,2.33
Mount Isa,AU,-20.73,139.5,77.0,17,0,11.41
Salta,AR,-24.79,-65.41,32.0,72,0,2.24
Kadapa,IN,14.47,78.82,93.4,46,100,9.08
Bonavista,CA,48.65,-53.11,54.0,74,100,4.0
Vernon,CA,50.26,-119.27,66.0,72,1,3.36
Anadyr,RU,64.75,177.48,53.6,81,90,2.24
Pangkalanbuun,ID,-2.68,111.62,85.78,56,100,6.53
Leh,IN,34.17,77.58,71.2,24,51,4.72
Aubenas,FR,44.62,4.39,81.0,62,0,4.0
San Antonio,US,29.42,-98.49,79.0,100,1,6.93
Ghogha,IN,21.68,72.28,86.0,89,90,8.05
Middleton,GB,53.55,-2.2,61.0,87,100,3.69
Los Llanos de Aridane,ES,28.66,-17.92,71.6,68,75,17.22
Chui,UY,-33.7,-53.46,39.7,89,0,4.81
Mugur-Aksy,RU,50.35,90.5,59.41,44,100,4.36
Mindelo,CV,16.89,-24.98,78.8,78,75,9.17
Progreso,MX,21.28,-89.67,80.01,83,40,8.05
Gouyave,GD,12.16,-61.73,81.43,83,14,16.44
Mariinsk,RU,56.21,87.75,66.61,74,79,8.93
Borisoglebsk,RU,51.37,42.08,88.0,39,100,7.0
Tuatapere,NZ,-46.13,167.68,51.55,78,100,5.46
Touros,BR,-5.2,-35.46,69.8,94,40,4.7
Kon Tum,VN,14.35,108.0,83.93,76,100,3.91
Kailua,US,21.4,-157.74,80.6,65,75,12.75
Ouango,CF,4.31,22.56,75.45,83,86,1.61
Pedersore,FI,63.65,22.68,60.01,93,75,11.41
Powell River,CA,49.85,-124.54,66.2,68,5,4.7
Praia,CV,14.92,-23.51,78.8,83,75,9.17
Mae Ramat,TH,16.98,98.52,86.0,74,40,9.17
Asilah,MA,35.47,-6.03,77.0,83,1,2.24
Yulara,AU,-25.24,130.99,73.4,13,0,10.29
Dunedin,NZ,-45.87,170.5,48.99,90,100,7.0
Trairi,BR,-3.28,-39.27,75.63,73,0,12.01
Shakawe,BW,-18.37,21.85,67.89,26,0,8.68
Port Blair,IN,11.67,92.75,82.18,78,100,16.31
Carahue,CL,-38.7,-73.17,32.0,83,90,2.24
Ushibukamachi,JP,32.19,130.02,83.52,73,0,6.42
Oranjemund,NA,-28.55,16.43,61.54,51,0,8.37
Ixtapa,MX,20.7,-105.2,78.01,96,100,1.01
Pudozh,RU,61.81,36.53,61.43,90,94,9.28
Hamilton,US,39.18,-84.53,73.99,94,1,0.78
Ko Samui,TH,9.54,99.94,87.8,70,20,8.05
São Francisco de Assis,BR,-29.55,-55.13,36.79,90,0,8.25
Tigil',RU,57.8,158.67,55.17,66,0,10.36
Apiaí,BR,-24.51,-48.84,46.31,100,100,3.29
Lingdong,CN,46.57,131.15,81.64,70,93,3.13
Hirara,JP,24.8,125.28,86.0,84,75,11.41
Kasungu,MW,-13.03,33.48,75.09,42,0,8.1
Vysokogornyy,RU,50.12,139.15,79.79,61,0,9.95
Puerto Ayacucho,VE,5.66,-67.62,73.17,92,19,3.76
Maneromango,TZ,-7.2,38.78,78.8,74,75,13.87
Mago,RU,53.25,140.18,79.9,60,100,10.56
Petatlán,MX,17.52,-101.27,78.42,80,100,3.11
Khomutovka,RU,51.92,34.56,73.49,66,60,6.46
Saint-Louis,SN,16.33,-15.0,75.2,94,100,9.66
Palmer,US,42.16,-72.33,71.01,100,75,2.82
Paamiut,GL,61.99,-49.67,45.39,96,100,2.15
Sørland,NO,67.67,12.69,57.2,82,22,11.41
Kumul,CN,42.8,93.45,94.93,12,89,5.75
College,US,64.86,-147.8,59.0,87,20,4.05
Spring Valley,US,36.11,-115.25,93.2,4,1,9.17
Bella Union,UY,-30.28,-57.6,36.84,89,0,6.35
Alvinópolis,BR,-20.11,-43.05,58.17,92,0,1.72
Marfino,RU,55.7,37.38,69.8,60,40,13.42
Sibolga,ID,1.74,98.78,86.4,56,34,5.59
Richards Bay,ZA,-28.78,32.04,68.95,64,0,4.05
Te Anau,NZ,-45.42,167.72,47.55,86,100,2.26
Koróni,GR,36.8,21.95,95.0,28,0,3.36
Cervo,ES,43.67,-7.41,68.0,88,0,4.25
Senanga,ZM,-16.12,23.27,71.62,36,0,7.31
Kifrī,IQ,34.7,44.97,117.61,7,0,12.01
Port Augusta,AU,-32.5,137.77,61.0,72,0,9.17
Goderich,CA,43.75,-81.72,71.01,86,0,9.73
Asău,RO,46.43,26.4,80.6,61,0,4.7
Catuday,PH,16.29,119.81,80.85,83,100,14.38
Gravdal,NO,68.12,13.5,68.0,60,93,9.17
Lingao,CN,19.91,109.69,89.98,62,100,11.52
Pokosnoye,RU,55.53,101.05,76.32,53,100,2.42
Saint-Pierre,RE,-21.34,55.48,77.0,69,20,4.7
Mthatha,ZA,-31.59,28.78,51.8,81,20,2.24
Navahrudak,BY,53.6,25.83,63.81,65,4,15.37
São Félix do Xingu,BR,-6.64,-51.99,68.74,57,100,1.59
